sourceid-year-oa,source_id,source_title,journal_name,issn_print,issn_e,parent_publisher,oa_status,pub_year,n_doi,apc_lower_total,apc_lower,apc_lower_source,apc_upper_total,apc_upper,apc_upper_source,notes
23563_2018_hybrid,23563,Structure,Structure,0969-2126,1878-4186,Elsevier,hybrid,2018,21,109200,5200,Matthias: actual,109200,5200,Matthias: actual,
532_2015_hybrid,532,Advanced Energy Materials,Advanced Energy Materials,1614-6832,1614-6840,Wiley,hybrid,2015,8,40000,5000,Matthias: older,40000,5000,Matthias: older,
532_2016_hybrid,532,Advanced Energy Materials,Advanced Energy Materials,1614-6832,1614-6840,Wiley,hybrid,2016,8,40000,5000,Matthias: actual,40000,5000,Matthias: actual,
532_2017_hybrid,532,Advanced Energy Materials,Advanced Energy Materials,1614-6832,1614-6840,Wiley,hybrid,2017,14,70000,5000,Matthias: actual,70000,5000,Matthias: actual,
532_2018_hybrid,532,Advanced Energy Materials,Advanced Energy Materials,1614-6832,1614-6840,Wiley,hybrid,2018,13,65000,5000,Matthias: actual,65000,5000,Matthias: actual,
538_2015_hybrid,538,Advanced Functional Materials,Advanced Functional Materials,1616-301X,1616-3028,Wiley,hybrid,2015,20,100000,5000,Matthias: older,100000,5000,Matthias: older,
538_2016_hybrid,538,Advanced Functional Materials,Advanced Functional Materials,1616-301X,1616-3028,Wiley,hybrid,2016,27,135000,5000,Matthias: actual,135000,5000,Matthias: actual,
538_2017_hybrid,538,Advanced Functional Materials,Advanced Functional Materials,1616-301X,1616-3028,Wiley,hybrid,2017,25,125000,5000,Matthias: actual,125000,5000,Matthias: actual,
538_2018_hybrid,538,Advanced Functional Materials,Advanced Functional Materials,1616-301X,1616-3028,Wiley,hybrid,2018,31,155000,5000,Matthias: actual,155000,5000,Matthias: actual,
544_2015_hybrid,544,Advanced Materials,Advanced Materials,0935-9648,1521-4095,Wiley,hybrid,2015,43,215000,5000,Matthias: older,215000,5000,Matthias: older,
544_2016_hybrid,544,Advanced Materials,Advanced Materials,0935-9648,1521-4095,Wiley,hybrid,2016,36,180000,5000,Matthias: actual,180000,5000,Matthias: actual,
544_2017_hybrid,544,Advanced Materials,Advanced Materials,0935-9648,1521-4095,Wiley,hybrid,2017,38,190000,5000,Matthias: actual,190000,5000,Matthias: actual,
544_2018_hybrid,544,Advanced Materials,Advanced Materials,0935-9648,1521-4095,Wiley,hybrid,2018,59,295000,5000,Matthias: actual,295000,5000,Matthias: actual,
556_2017_gold,556,Advanced Science,Advanced Science,NULL,2198-3844,Wiley,gold,2017,193,965000,5000,Matthias: actual | Morrison: actual,965000,5000,Matthias: actual | Morrison: actual,
556_2018_gold,556,Advanced Science,Advanced Science,NULL,2198-3844,Wiley,gold,2018,388,1940000,5000,Matthias: actual | Morrison: actual,1940000,5000,Matthias: actual | Morrison: actual,
1327_2017_hybrid,1327,American Journal of Human Genetics,The American Journal of Human Genetics,0002-9297,1537-6605,Elsevier,hybrid,2017,28,140000,5000,Matthias: actual,140000,5000,Matthias: actual,
1327_2018_hybrid,1327,American Journal of Human Genetics,The American Journal of Human Genetics,0002-9297,1537-6605,Elsevier,hybrid,2018,26,130000,5000,Matthias: actual,130000,5000,Matthias: actual,
4232_2015_hybrid,4232,Cancer Cell,Cancer Cell,1535-6108,1878-3686,Elsevier,hybrid,2015,10,50000,5000,Matthias: actual,50000,5000,Matthias: actual,
4232_2016_hybrid,4232,Cancer Cell,Cancer Cell,1535-6108,1878-3686,Elsevier,hybrid,2016,11,55000,5000,Matthias: actual,55000,5000,Matthias: actual,
4232_2017_hybrid,4232,Cancer Cell,Cancer Cell,1535-6108,1878-3686,Elsevier,hybrid,2017,16,80000,5000,Matthias: actual,80000,5000,Matthias: actual,
4391_2015_hybrid,4391,Cell,Cell,0092-8674,1097-4172,Elsevier,hybrid,2015,34,170000,5000,Matthias: actual,170000,5000,Matthias: actual,
4391_2016_hybrid,4391,Cell,Cell,0092-8674,1097-4172,Elsevier,hybrid,2016,57,285000,5000,Matthias: actual,285000,5000,Matthias: actual,
4391_2017_hybrid,4391,Cell,Cell,0092-8674,1097-4172,Elsevier,hybrid,2017,44,220000,5000,Matthias: actual,220000,5000,Matthias: actual,
4406_2016_hybrid,4406,Cell Chemical Biology,Cell Chemical Biology,2451-9448,NULL,Elsevier,hybrid,2016,9,45000,5000,Matthias: actual,45000,5000,Matthias: actual,
4406_2017_hybrid,4406,Cell Chemical Biology,Cell Chemical Biology,2451-9448,NULL,Elsevier,hybrid,2017,17,85000,5000,Matthias: actual,85000,5000,Matthias: actual,
4419_2015_hybrid,4419,Cell Host & Microbe,Cell Host & Microbe,1931-3128,1934-6069,Elsevier,hybrid,2015,14,70000,5000,Matthias: actual,70000,5000,Matthias: actual,
4419_2016_hybrid,4419,Cell Host & Microbe,Cell Host & Microbe,1931-3128,1934-6069,Elsevier,hybrid,2016,12,60000,5000,Matthias: actual,60000,5000,Matthias: actual,
4419_2017_hybrid,4419,Cell Host & Microbe,Cell Host & Microbe,1931-3128,1934-6069,Elsevier,hybrid,2017,11,55000,5000,Matthias: actual,55000,5000,Matthias: actual,
4422_2015_hybrid,4422,Cell Metabolism,Cell Metabolism,1550-4131,1932-7420,Elsevier,hybrid,2015,6,30000,5000,Matthias: actual,30000,5000,Matthias: actual,
4422_2016_hybrid,4422,Cell Metabolism,Cell Metabolism,1550-4131,1932-7420,Elsevier,hybrid,2016,16,80000,5000,Matthias: actual,80000,5000,Matthias: actual,
4422_2017_hybrid,4422,Cell Metabolism,Cell Metabolism,1550-4131,1932-7420,Elsevier,hybrid,2017,10,50000,5000,Matthias: actual,50000,5000,Matthias: actual,
4428_2015_gold,4428,Cell Reports,Cell Reports,2211-1247,NULL,Elsevier,gold,2015,803,4015000,5000,Matthias: actual,4015000,5000,Matthias: actual,
4428_2018_gold,4428,Cell Reports,Cell Reports,2211-1247,NULL,Elsevier,gold,2018,1256,6280000,5000,Matthias: actual | Morrison: actual,6280000,5000,Matthias: actual | Morrison: actual,
4430_2015_hybrid,4430,Cell Stem Cell,Cell Stem Cell,1934-5909,1875-9777,Elsevier,hybrid,2015,6,30000,5000,Matthias: actual,30000,5000,Matthias: actual,
4430_2016_hybrid,4430,Cell Stem Cell,Cell Stem Cell,1934-5909,1875-9777,Elsevier,hybrid,2016,10,50000,5000,Matthias: actual,50000,5000,Matthias: actual,
4430_2017_hybrid,4430,Cell Stem Cell,Cell Stem Cell,1934-5909,1875-9777,Elsevier,hybrid,2017,9,45000,5000,Matthias: actual,45000,5000,Matthias: actual,
4434_2015_hybrid,4434,Cell Systems,Cell Systems,2405-4712,2405-4720,Elsevier,hybrid,2015,3,15000,5000,Matthias: older,15000,5000,Matthias: older,
4434_2016_hybrid,4434,Cell Systems,Cell Systems,2405-4712,2405-4720,Elsevier,hybrid,2016,28,140000,5000,Matthias: actual,140000,5000,Matthias: actual,
4434_2017_hybrid,4434,Cell Systems,Cell Systems,2405-4712,2405-4720,Elsevier,hybrid,2017,42,210000,5000,Matthias: actual,210000,5000,Matthias: actual,
4561_2016_hybrid,4561,Chem,Chem,2451-9294,NULL,Elsevier,hybrid,2016,6,30000,5000,IWM: actual,30000,5000,IWM: actual,http://web.archive.org/web/20160506175107/http://www.cell.com/rights-sharing-embargoes
4561_2017_hybrid,4561,Chem,Chem,2451-9294,NULL,Elsevier,hybrid,2017,8,40000,5000,IWM: actual,40000,5000,IWM: actual,http://web.archive.org/web/20170811191028/http://www.cell.com/rights-sharing-embargoes
4625_2015_hybrid,4625,Chemistry & Biology,Chemistry & Biology,1074-5521,1879-1301,Elsevier,hybrid,2015,15,75000,5000,Matthias: actual,75000,5000,Matthias: actual,
5134_2017_hybrid,5134,Cochrane Database of Systematic Reviews,Cochrane Database of Systematic Reviews,1469-493X,1361-6137,Wiley,hybrid,2017,1,5000,5000,Matthias: newer,5000,5000,Matthias: newer,applied 2019 fee https://web.archive.org/web/20190224173618/https://www.cochranelibrary.com/about/open-access
6102_2015_hybrid,6102,Current Biology,Current Biology,0960-9822,1879-0445,Elsevier,hybrid,2015,77,385000,5000,Matthias: actual,385000,5000,Matthias: actual,
6102_2016_hybrid,6102,Current Biology,Current Biology,0960-9822,1879-0445,Elsevier,hybrid,2016,68,340000,5000,Matthias: actual,340000,5000,Matthias: actual,
6102_2017_hybrid,6102,Current Biology,Current Biology,0960-9822,1879-0445,Elsevier,hybrid,2017,97,485000,5000,Matthias: actual,485000,5000,Matthias: actual,
6498_2015_hybrid,6498,Developmental Cell,Developmental Cell,1534-5807,1878-1551,Elsevier,hybrid,2015,18,90000,5000,Matthias: actual,90000,5000,Matthias: actual,
6498_2016_hybrid,6498,Developmental Cell,Developmental Cell,1534-5807,1878-1551,Elsevier,hybrid,2016,29,145000,5000,Matthias: actual,145000,5000,Matthias: actual,
6498_2017_hybrid,6498,Developmental Cell,Developmental Cell,1534-5807,1878-1551,Elsevier,hybrid,2017,19,95000,5000,Matthias: actual,95000,5000,Matthias: actual,
8131_2016_hybrid,8131,European Urology,European Urology,0302-2838,1873-7560,Elsevier,hybrid,2016,23,115000,5000,Matthias: actual,115000,5000,Matthias: actual,
8131_2017_hybrid,8131,European Urology,European Urology,0302-2838,1873-7560,Elsevier,hybrid,2017,19,95000,5000,Matthias: actual,95000,5000,Matthias: actual,
8131_2018_hybrid,8131,European Urology,European Urology,0302-2838,1873-7560,Elsevier,hybrid,2018,20,100000,5000,Matthias: actual,100000,5000,Matthias: actual,
10716_2015_hybrid,10716,Immunity,Immunity,1074-7613,1097-4180,Elsevier,hybrid,2015,16,80000,5000,Matthias: actual,80000,5000,Matthias: actual,
