sourceid-year-oa,source_id,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
8131_2018_hybrid,8131,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,20,5000,100000
23563_2017_hybrid,23563,Elsevier,2017,hybrid,NATURAL SCIENCES,20,5000,100000
544_2018_hybrid,544,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,19.66666667,5000,98333.33333
6498_2017_hybrid,6498,Elsevier,2017,hybrid,NATURAL SCIENCES,19,5000,95000
8131_2017_hybrid,8131,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,19,5000,95000
538_2016_hybrid,538,Wiley,2016,hybrid,NATURAL SCIENCES,18,5000,90000
23563_2016_hybrid,23563,Elsevier,2016,hybrid,NATURAL SCIENCES,18,5000,90000
6498_2015_hybrid,6498,Elsevier,2015,hybrid,NATURAL SCIENCES,18,5000,90000
10716_2017_hybrid,10716,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,17,5000,85000
4406_2017_hybrid,4406,Elsevier,2017,hybrid,NATURAL SCIENCES,17,5000,85000
10716_2016_hybrid,10716,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,17,5000,85000
538_2017_hybrid,538,Wiley,2017,hybrid,NATURAL SCIENCES,16.66666667,5000,83333.33333
10716_2015_hybrid,10716,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,16,5000,80000
16229_2018_hybrid,16229,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,15,5000,75000
4625_2015_hybrid,4625,Elsevier,2015,hybrid,NATURAL SCIENCES,15,5000,75000
544_2015_hybrid,544,Wiley,2015,hybrid,ENGINEERING AND TECHNOLOGY,14.33333333,5000,71666.66667
16228_2017_hybrid,16228,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,14,5000,70000
16229_2017_hybrid,16229,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,14,5000,70000
538_2015_hybrid,538,Wiley,2015,hybrid,NATURAL SCIENCES,13.33333333,5000,66666.66667
16229_2015_hybrid,16229,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,13,5000,65000
544_2017_hybrid,544,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,12.66666667,5000,63333.33333
16220_2018_hybrid,16220,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,12,5000,60000
544_2016_hybrid,544,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,12,5000,60000
16228_2016_hybrid,16228,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,11,5000,55000
16227_2018_hybrid,16227,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,11,5000,55000
16228_2018_hybrid,16228,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,11,5000,55000
16229_2016_hybrid,16229,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,11,5000,55000
22902_2018_hybrid,22902,Wiley,2018,hybrid,NATURAL SCIENCES,10.66666667,5000,53333.33333
538_2018_hybrid,538,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,10.33333333,5000,51666.66667
16221_2018_hybrid,16221,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,10,5000,50000
4419_2015_hybrid,4419,Elsevier,2015,hybrid,NATURAL SCIENCES,9.333333333,5000,46666.66667
4406_2016_hybrid,4406,Elsevier,2016,hybrid,NATURAL SCIENCES,9,5000,45000
538_2016_hybrid,538,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,9,5000,45000
16221_2015_hybrid,16221,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,9,5000,45000
22902_2015_hybrid,22902,Wiley,2015,hybrid,NATURAL SCIENCES,8.666666667,5000,43333.33333
532_2017_hybrid,532,Wiley,2017,hybrid,NATURAL SCIENCES,8.4,5000,42000
538_2017_hybrid,538,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,8.333333333,5000,41666.66667
4422_2016_hybrid,4422,Elsevier,2016,hybrid,NATURAL SCIENCES,8,5000,40000
16225_2018_hybrid,16225,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,8,5000,40000
4561_2017_hybrid,4561,Elsevier,2017,hybrid,NATURAL SCIENCES,8,5000,40000
16226_2015_hybrid,16226,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,8,5000,40000
4232_2017_hybrid,4232,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,8,5000,40000
4422_2016_hybrid,4422,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,8,5000,40000
4419_2016_hybrid,4419,Elsevier,2016,hybrid,NATURAL SCIENCES,8,5000,40000
4232_2017_hybrid,4232,Elsevier,2017,hybrid,NATURAL SCIENCES,8,5000,40000
532_2018_hybrid,532,Wiley,2018,hybrid,NATURAL SCIENCES,7.8,5000,39000
4419_2017_hybrid,4419,Elsevier,2017,hybrid,NATURAL SCIENCES,7.333333333,5000,36666.66667
16227_2016_hybrid,16227,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,7,5000,35000
16227_2015_hybrid,16227,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,7,5000,35000
16222_2018_hybrid,16222,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,7,5000,35000
16228_2015_hybrid,16228,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,7,5000,35000
22902_2016_hybrid,22902,Wiley,2016,hybrid,NATURAL SCIENCES,6.666666667,5000,33333.33333
22902_2017_hybrid,22902,Wiley,2017,hybrid,NATURAL SCIENCES,6.666666667,5000,33333.33333
538_2015_hybrid,538,Wiley,2015,hybrid,ENGINEERING AND TECHNOLOGY,6.666666667,5000,33333.33333
4561_2016_hybrid,4561,Elsevier,2016,hybrid,NATURAL SCIENCES,6,5000,30000
16231_2015_hybrid,16231,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,6,5000,30000
16221_2016_hybrid,16221,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,6,5000,30000
16225_2016_hybrid,16225,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,6,5000,30000
16227_2017_hybrid,16227,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,6,5000,30000
532_2017_hybrid,532,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,5.6,5000,28000
4232_2016_hybrid,4232,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,5.5,5000,27500
4232_2016_hybrid,4232,Elsevier,2016,hybrid,NATURAL SCIENCES,5.5,5000,27500
22902_2018_hybrid,22902,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,5.333333333,5000,26666.66667
532_2018_hybrid,532,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,5.2,5000,26000
4430_2016_hybrid,4430,Elsevier,2016,hybrid,NATURAL SCIENCES,5,5000,25000
4422_2017_hybrid,4422,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
16221_2017_hybrid,16221,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
16225_2017_hybrid,16225,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
16231_2016_hybrid,16231,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
4232_2015_hybrid,4232,Elsevier,2015,hybrid,NATURAL SCIENCES,5,5000,25000
4422_2017_hybrid,4422,Elsevier,2017,hybrid,NATURAL SCIENCES,5,5000,25000
4232_2015_hybrid,4232,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
4430_2016_hybrid,4430,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,5,5000,25000
532_2016_hybrid,532,Wiley,2016,hybrid,NATURAL SCIENCES,4.8,5000,24000
532_2015_hybrid,532,Wiley,2015,hybrid,NATURAL SCIENCES,4.8,5000,24000
4419_2015_hybrid,4419,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,4.666666667,5000,23333.33333
4430_2017_hybrid,4430,Elsevier,2017,hybrid,NATURAL SCIENCES,4.5,5000,22500
4430_2017_hybrid,4430,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,4.5,5000,22500
22902_2015_hybrid,22902,Wiley,2015,hybrid,ENGINEERING AND TECHNOLOGY,4.333333333,5000,21666.66667
16224_2018_hybrid,16224,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,4,5000,20000
16231_2017_hybrid,16231,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,4,5000,20000
4419_2016_hybrid,4419,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,4,5000,20000
4419_2017_hybrid,4419,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,3.666666667,5000,18333.33333
22902_2017_hybrid,22902,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,3.333333333,5000,16666.66667
22902_2016_hybrid,22902,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,3.333333333,5000,16666.66667
